artist_id,artist_genres
6EMoWayH9WulC8F8b6m3BH,['musica para ninos']
0wNzx85rLgKy0OXYhpCItV,"['cumbia sonidera', 'mexican rock-and-roll', 'ranchera', 'tropical']"
7uWXomGkKtIq9B4XgA3gch,"['ccm', 'christian alternative rock', 'christian music']"
7KrWKbEhGHojuod8j3CDNT,['tierra caliente']
2P1puQXmG48EVLBrHbum1J,"['contemporary vocal jazz', 'vocal jazz']"
5F73ZVq8ivLhsYF2pGg4Fc,['reggaeton']
1tNdPYwlFcKzrIaE7WBl8z,['japanese classical']
4vOycwLXdkMMzpZW04VW5m,"['salsa', 'salsa puertorriquena', 'tropical']"
4BwiodzEp9Hwes5HeFjMVK,"['banda', 'musica mexicana', 'norteno']"
0q9lPhJHW5R9J7RXIJRbTk,['reggae rock']
0kUZTk2JLPEAUyCWoN6eoL,"['chilean rock', 'latin alternative', 'latin arena pop', 'latin pop', 'mexican rock', 'rock en espanol']"
4AcHt3JxKy59IX7JNNlZn4,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'pov: indie']"
64CuUOOirKmdAYLQSfaOyr,"['chicago soul', 'classic soul', 'disco', 'funk', 'girl group', 'motown', 'post-disco', 'quiet storm', 'soul', 'southern soul']"
3nlpTZci9O5W8RsNoNH559,"['bachata', 'latin pop', 'tropical']"
4Uk5eLOfWucThb2X4QLcX1,"['chanson', 'classic french pop', 'french pop', 'ye ye']"
3ySNhvP0TNqkbu6zbUskTI,['gypsy punk']
7wLYNBd1fXGEKSLJMNnlt4,"['merengue', 'tropical']"
4nSgEvZncnC5oNPVrtwnLd,"['latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol']"
0MGTHZpAGf7isSfw8yMIoi,"['deep house', 'house', 'uk funky']"
2zPrYGtYPlAWgA9bkvoM5W,"['byzantine', 'orthodox chant']"
59xlizZFIFUvLC0I8iV2Jv,"['musica chihuahuense', 'musica mexicana', 'norteno', 'norteno-sax']"
5qrZ4EXMTVH4e6odErsQjb,"['horror punk', 'industrial metal', 'nu metal']"
3MKCzCnpzw3TjUYs2v7vDA,"['classical', 'late romantic era', 'russian romanticism']"
2KsP6tYLJlTBvSUxnwlVWa,"['dance pop', 'pop', 'pop dance', 'pop rap']"
3ipn9JLAPI5GUEo4y4jcoi,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
7FIxmez8QvEKSOROoCqoPQ,[]
5gxynDEKwNDgxGJmJjZyte,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'singer-songwriter', 'soft rock']"
7MnEOC6vXcGp5P8RiFrlCm,"['brutal deathcore', 'deathcore', 'melodic deathcore', 'melodic metalcore', 'progressive deathcore']"
5n0GlcrNHmTAWB0xn4svSH,[]
2MRBDr0crHWE5JwPceFncq,"['cancion melodica', 'latin pop', 'mariachi', 'musica mexicana', 'ranchera']"
1tne7xesoFw59hw0RgzKYh,"['latin christian', 'mariachi cristiano']"
3cCP79U05k4MrNSU06eBy2,"['early romantic era', 'french romanticism']"
4AK6F7OLvEQ5QYCBNiQWHq,"['boy band', 'pop', 'post-teen pop', 'talent show']"
2dJTa3mUidZAO9sKcY72tK,['indie soul']
72v53CufRiSyqcQ78KUQ5p,['ranchera']
6CwfuxIqcltXDGjfZsMd9A,"['metropopolis', 'pop', 'pov: indie', 'uk alternative pop']"
2fsQcmsoEVZD4EHZOzARdx,"['colombian hip hop', 'colombian rock', 'latin alternative', 'nu-cumbia']"
7FhkwcO8Jd7BRWdllBpXBJ,"['black metal', 'gothic black metal', 'greek black metal', 'greek metal', 'melodic black metal', 'metal', 'symphonic black metal', 'symphonic deathcore', 'viking metal']"
5jYKOT6F4yFRxLripcUnRu,"['psydub', 'world fusion']"
0yvr3AhMAZ68LodVgG9iwh,['rumba']
5qJltWTMfIGZTr2GDrKPST,['ballet class']
7okT3a2kDis9lOUAEMIpeG,"[""preschool children's music""]"
5zto0NhFPEDUohvCEOYlrM,"['bossa nova cover', 'coverchill']"
7gXUrN8vgmVhKVCkw9pavV,"['jazz piano', 'space age pop']"
1l0mKo96Jh9HVYONcRl3Yp,"['dance pop', 'k-pop', 'k-pop girl group']"
3o6jqTGntV0vVY9Mo9XpZL,"['comedy', 'deep comedy', 'new comedy']"
7HfmAAsZer6QNSG2OmowQX,['classic praise']
7y97mc3bZRFXzT2szRM4L4,"['classical', 'early romantic era', 'polish classical']"
4kCZ5nyurc9eIqLJfUcW0Y,['medieval']
3ecm0ZCTUOZSNuHX3NcShh,"['cumbia del sureste', 'cumbia sonidera', 'grupera']"
5JG9GISYjRLQUJMH2C6iJ5,"['funk carioca', 'pagode', 'pagode novo', 'sertanejo universitario']"
1TCSet7pGZCDkcXCOzH359,"['chilena', 'duranguense', 'musica mexicana']"
5ZMwoAjeDtLJ0XRwRTgaK8,"['downtempo', 'electronica', 'latin alternative', 'nu jazz', 'nu-cumbia', 'trip hop']"
5EB2fVqgc03woRe0QG3gj1,['mariachi cristiano']
0gZHnsLe1aKqOFk91JgfKE,"['musica potosina', 'norteno', 'norteno-sax']"
7L6u6TyhjuwubrcojPeNgf,"['ambient black metal', 'atmospheric black metal', 'autonomous black metal', 'black metal', 'dungeon synth', 'metal', 'norwegian black metal', 'norwegian metal', 'pagan black metal', 'tolkien metal']"
1shvlaBEDzIJGYhXbMxKJY,['bossa nova cover']
3mGCLimuzOdod4Lnegny4d,['sleep']
3jOstUTkEu2JkjvRdBA5Gu,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']"
6jy0VQ5tLwEKBeMxZ1aK4J,['otacore']
6jcPHv7qVfqysvBT7Jmn7K,['deep disco']
